raceId,ultrapassagens,name,year,corrida
1025,571,Russian Grand Prix,2019,2019 - Russian Grand Prix
1026,122,Japanese Grand Prix,2019,2019 - Japanese Grand Prix
1027,383,Mexican Grand Prix,2019,2019 - Mexican Grand Prix
1028,248,United States Grand Prix,2019,2019 - United States Grand Prix
1029,814,Brazilian Grand Prix,2019,2019 - Brazilian Grand Prix
1030,186,Abu Dhabi Grand Prix,2019,2019 - Abu Dhabi Grand Prix
1031,504,Austrian Grand Prix,2020,2020 - Austrian Grand Prix
1032,393,Styrian Grand Prix,2020,2020 - Styrian Grand Prix
1033,184,Hungarian Grand Prix,2020,2020 - Hungarian Grand Prix
1034,621,British Grand Prix,2020,2020 - British Grand Prix
1035,505,70th Anniversary Grand Prix,2020,2020 - 70th Anniversary Grand Prix
1036,96,Spanish Grand Prix,2020,2020 - Spanish Grand Prix
1037,602,Belgian Grand Prix,2020,2020 - Belgian Grand Prix
1038,640,Italian Grand Prix,2020,2020 - Italian Grand Prix
1039,528,Tuscan Grand Prix,2020,2020 - Tuscan Grand Prix
1040,372,Russian Grand Prix,2020,2020 - Russian Grand Prix
1041,651,Eifel Grand Prix,2020,2020 - Eifel Grand Prix
1042,124,Portuguese Grand Prix,2020,2020 - Portuguese Grand Prix
1043,726,Emilia Romagna Grand Prix,2020,2020 - Emilia Romagna Grand Prix
1044,443,Turkish Grand Prix,2020,2020 - Turkish Grand Prix
1045,347,Bahrain Grand Prix,2020,2020 - Bahrain Grand Prix
1046,1213,Sakhir Grand Prix,2020,2020 - Sakhir Grand Prix
1047,330,Abu Dhabi Grand Prix,2020,2020 - Abu Dhabi Grand Prix
1051,317,Qatar Grand Prix,2021,2021 - Qatar Grand Prix
1052,459,Bahrain Grand Prix,2021,2021 - Bahrain Grand Prix
1053,626,Emilia Romagna Grand Prix,2021,2021 - Emilia Romagna Grand Prix
1054,549,Portuguese Grand Prix,2021,2021 - Portuguese Grand Prix
1055,268,Spanish Grand Prix,2021,2021 - Spanish Grand Prix
1056,365,Monaco Grand Prix,2021,2021 - Monaco Grand Prix
1057,639,Azerbaijan Grand Prix,2021,2021 - Azerbaijan Grand Prix
1058,149,Styrian Grand Prix,2021,2021 - Styrian Grand Prix
1059,407,French Grand Prix,2021,2021 - French Grand Prix
1060,439,Austrian Grand Prix,2021,2021 - Austrian Grand Prix
1061,353,British Grand Prix,2021,2021 - British Grand Prix
1062,425,Hungarian Grand Prix,2021,2021 - Hungarian Grand Prix
1063,0,Belgian Grand Prix,2021,2021 - Belgian Grand Prix
1064,107,Dutch Grand Prix,2021,2021 - Dutch Grand Prix
1065,659,Italian Grand Prix,2021,2021 - Italian Grand Prix
1066,461,Russian Grand Prix,2021,2021 - Russian Grand Prix
1067,383,Turkish Grand Prix,2021,2021 - Turkish Grand Prix
1069,302,United States Grand Prix,2021,2021 - United States Grand Prix
1070,169,Mexico City Grand Prix,2021,2021 - Mexico City Grand Prix
1071,275,São Paulo Grand Prix,2021,2021 - São Paulo Grand Prix
1072,463,Saudi Arabian Grand Prix,2021,2021 - Saudi Arabian Grand Prix
1073,444,Abu Dhabi Grand Prix,2021,2021 - Abu Dhabi Grand Prix
1074,722,Bahrain Grand Prix,2022,2022 - Bahrain Grand Prix
1075,407,Saudi Arabian Grand Prix,2022,2022 - Saudi Arabian Grand Prix
1076,505,Australian Grand Prix,2022,2022 - Australian Grand Prix
1077,359,Emilia Romagna Grand Prix,2022,2022 - Emilia Romagna Grand Prix
1078,634,Miami Grand Prix,2022,2022 - Miami Grand Prix
1079,338,Spanish Grand Prix,2022,2022 - Spanish Grand Prix
1080,709,Monaco Grand Prix,2022,2022 - Monaco Grand Prix
1081,308,Azerbaijan Grand Prix,2022,2022 - Azerbaijan Grand Prix
1082,892,Canadian Grand Prix,2022,2022 - Canadian Grand Prix
1083,548,British Grand Prix,2022,2022 - British Grand Prix
1084,172,Austrian Grand Prix,2022,2022 - Austrian Grand Prix
1085,595,French Grand Prix,2022,2022 - French Grand Prix
1086,341,Hungarian Grand Prix,2022,2022 - Hungarian Grand Prix
1087,480,Belgian Grand Prix,2022,2022 - Belgian Grand Prix
1088,926,Dutch Grand Prix,2022,2022 - Dutch Grand Prix
1089,442,Italian Grand Prix,2022,2022 - Italian Grand Prix
1091,495,Singapore Grand Prix,2022,2022 - Singapore Grand Prix
1092,417,Japanese Grand Prix,2022,2022 - Japanese Grand Prix
1093,741,United States Grand Prix,2022,2022 - United States Grand Prix
1094,258,Mexico City Grand Prix,2022,2022 - Mexico City Grand Prix
1095,890,São Paulo Grand Prix,2022,2022 - São Paulo Grand Prix
1096,442,Abu Dhabi Grand Prix,2022,2022 - Abu Dhabi Grand Prix
1098,449,Bahrain Grand Prix,2023,2023 - Bahrain Grand Prix
1099,642,Saudi Arabian Grand Prix,2023,2023 - Saudi Arabian Grand Prix
1100,560,Australian Grand Prix,2023,2023 - Australian Grand Prix
1101,595,Azerbaijan Grand Prix,2023,2023 - Azerbaijan Grand Prix
1102,812,Miami Grand Prix,2023,2023 - Miami Grand Prix
1104,448,Monaco Grand Prix,2023,2023 - Monaco Grand Prix
1105,604,Spanish Grand Prix,2023,2023 - Spanish Grand Prix
1106,737,Canadian Grand Prix,2023,2023 - Canadian Grand Prix
1107,568,Austrian Grand Prix,2023,2023 - Austrian Grand Prix
1108,699,British Grand Prix,2023,2023 - British Grand Prix
1109,419,Hungarian Grand Prix,2023,2023 - Hungarian Grand Prix
1110,619,Belgian Grand Prix,2023,2023 - Belgian Grand Prix
1111,1004,Dutch Grand Prix,2023,2023 - Dutch Grand Prix
1112,657,Italian Grand Prix,2023,2023 - Italian Grand Prix
1113,751,Singapore Grand Prix,2023,2023 - Singapore Grand Prix
1114,378,Japanese Grand Prix,2023,2023 - Japanese Grand Prix
1115,595,Qatar Grand Prix,2023,2023 - Qatar Grand Prix
1116,499,United States Grand Prix,2023,2023 - United States Grand Prix
1117,816,Mexico City Grand Prix,2023,2023 - Mexico City Grand Prix
1118,421,São Paulo Grand Prix,2023,2023 - São Paulo Grand Prix
1119,698,Las Vegas Grand Prix,2023,2023 - Las Vegas Grand Prix
1120,769,Abu Dhabi Grand Prix,2023,2023 - Abu Dhabi Grand Prix
1121,383,Bahrain Grand Prix,2024,2024 - Bahrain Grand Prix
1122,422,Saudi Arabian Grand Prix,2024,2024 - Saudi Arabian Grand Prix
1123,339,Australian Grand Prix,2024,2024 - Australian Grand Prix
1124,338,Japanese Grand Prix,2024,2024 - Japanese Grand Prix
1125,742,Chinese Grand Prix,2024,2024 - Chinese Grand Prix
1126,914,Miami Grand Prix,2024,2024 - Miami Grand Prix
1127,382,Emilia Romagna Grand Prix,2024,2024 - Emilia Romagna Grand Prix
1128,428,Monaco Grand Prix,2024,2024 - Monaco Grand Prix
1129,784,Canadian Grand Prix,2024,2024 - Canadian Grand Prix
1130,527,Spanish Grand Prix,2024,2024 - Spanish Grand Prix
1131,616,Austrian Grand Prix,2024,2024 - Austrian Grand Prix
1132,480,British Grand Prix,2024,2024 - British Grand Prix
1133,531,Hungarian Grand Prix,2024,2024 - Hungarian Grand Prix
1134,609,Belgian Grand Prix,2024,2024 - Belgian Grand Prix
1135,394,Dutch Grand Prix,2024,2024 - Dutch Grand Prix
1136,502,Italian Grand Prix,2024,2024 - Italian Grand Prix
1137,519,Azerbaijan Grand Prix,2024,2024 - Azerbaijan Grand Prix
1138,213,Singapore Grand Prix,2024,2024 - Singapore Grand Prix
1139,478,United States Grand Prix,2024,2024 - United States Grand Prix
1140,391,Mexico City Grand Prix,2024,2024 - Mexico City Grand Prix
1141,794,São Paulo Grand Prix,2024,2024 - São Paulo Grand Prix
1142,635,Las Vegas Grand Prix,2024,2024 - Las Vegas Grand Prix
1143,562,Qatar Grand Prix,2024,2024 - Qatar Grand Prix
1144,400,Abu Dhabi Grand Prix,2024,2024 - Abu Dhabi Grand Prix
